time,anomaly,lower_confidence_limit,upper_confidence_limit,id
1850,-0.43579108,-0.6356799,-0.23590226,1
1851,-0.21924901,-0.42839807,-0.010099963,2
1852,-0.23570205,-0.45768887,-0.013715232,3
1853,-0.24539217,-0.46319896,-0.0275854,4
1854,-0.17490809,-0.37110046,0.02128428,5
1855,-0.24564321,-0.45017496,-0.041111458,6
1856,-0.33354086,-0.53796923,-0.12911248,7
1857,-0.45139664,-0.65434325,-0.24845001,8
1858,-0.3586044,-0.5620843,-0.15512446,9
1859,-0.24764407,-0.44093075,-0.054357383,10
1860,-0.45903206,-0.65653825,-0.26152587,11
1861,-0.40554163,-0.65066427,-0.16041897,12
1862,-0.7015686,-0.9476844,-0.45545283,13
1863,-0.30135897,-0.5742071,-0.028510837,14
1864,-0.46164352,-0.7181969,-0.20509012,15
1865,-0.367516,-0.6554138,-0.079618216,16
1866,-0.37373003,-0.6296427,-0.11781737,17
1867,-0.40509325,-0.69225955,-0.117926925,18
1868,-0.3587121,-0.6162636,-0.101160586,19
1869,-0.24876358,-0.47388127,-0.023645878,20
1870,-0.3120681,-0.51427823,-0.109857984,21
1871,-0.44095552,-0.66278726,-0.21912381,22
1872,-0.3570225,-0.5597911,-0.15425391,23
1873,-0.3755952,-0.57096463,-0.1802258,24
1874,-0.29373273,-0.4933909,-0.09407458,25
1875,-0.48372233,-0.6799981,-0.28744656,26
1876,-0.43496627,-0.6174643,-0.2524682,27
1877,-0.10136229,-0.27949244,0.07676787,28
1878,0.07121073,-0.09910355,0.241525,29
1879,-0.33624864,-0.51425415,-0.15824309,30
1880,-0.38399777,-0.5646961,-0.2032995,31
1881,-0.28404993,-0.45302534,-0.1150745,32
1882,-0.37297913,-0.54639304,-0.19956523,33
1883,-0.42706347,-0.586372,-0.2677549,34
1884,-0.63446146,-0.7822249,-0.48669806,35
1885,-0.50963664,-0.65414095,-0.3651323,36
1886,-0.4454663,-0.5879795,-0.30295312,37
1887,-0.49421906,-0.6482418,-0.3401963,38
1888,-0.37244922,-0.5319856,-0.21291286,39
1889,-0.26046592,-0.41859558,-0.10233628,40
1890,-0.5236722,-0.68989366,-0.35745075,41
1891,-0.41190198,-0.5833961,-0.24040791,42
1892,-0.57606024,-0.7423985,-0.409722,43
1893,-0.5567236,-0.72497547,-0.3884717,44
1894,-0.44259676,-0.6071508,-0.27804273,45
1895,-0.44512075,-0.6083137,-0.28192785,46
1896,-0.29344037,-0.45053694,-0.13634379,47
1897,-0.25156042,-0.41372293,-0.08939792,48
1898,-0.430447,-0.5830083,-0.27788576,49
1899,-0.33304518,-0.48560596,-0.1804844,50
1900,-0.19789775,-0.34493777,-0.050857726,51
1901,-0.21493746,-0.37298056,-0.056894362,52
1902,-0.459913,-0.6173293,-0.3024967,53
1903,-0.50512433,-0.6529691,-0.3572796,54
1904,-0.5783536,-0.7316279,-0.42507932,55
1905,-0.40339717,-0.54213005,-0.26466432,56
1906,-0.26034278,-0.4178278,-0.102857746,57
1907,-0.53668755,-0.67487854,-0.3984966,58
1908,-0.47782668,-0.6215604,-0.33409297,59
1909,-0.49372384,-0.62816876,-0.35927886,60
1910,-0.49141455,-0.6347914,-0.34803772,61
1911,-0.4531457,-0.5883579,-0.3179335,62
1912,-0.5302812,-0.6617522,-0.3988102,63
1913,-0.4946916,-0.63103354,-0.35834965,64
1914,-0.26909837,-0.40153128,-0.1366655,65
1915,-0.17552477,-0.30680686,-0.044242658,66
1916,-0.44348505,-0.5815168,-0.30545333,67
1917,-0.58452386,-0.7224319,-0.44661576,68
1918,-0.4693667,-0.60312676,-0.33560666,69
1919,-0.37228045,-0.51503795,-0.22952299,70
1920,-0.30915058,-0.4556251,-0.16267608,71
1921,-0.16326092,-0.30573016,-0.02079169,72
1922,-0.3025757,-0.4415263,-0.1636251,73
1923,-0.2553121,-0.38592252,-0.124701686,74
1924,-0.19269112,-0.32702416,-0.058358077,75
1925,-0.16855866,-0.30268684,-0.034430455,76
1926,-0.001948146,-0.13854308,0.13464679,77
1927,-0.106848285,-0.23045929,0.01676272,78
1928,-0.0874137,-0.22463728,0.049809888,79
1929,-0.33659348,-0.46930927,-0.2038777,80
1930,-0.030012226,-0.11590601,0.055881552,81
1931,0.0458628,-0.039999433,0.13172503,82
1932,-0.037433486,-0.12516934,0.05030237,83
1933,-0.26505136,-0.3484546,-0.18164816,84
1934,-0.05340261,-0.1302709,0.023465674,85
1935,-0.08655058,-0.16392204,-0.009179108,86
1936,-0.060995486,-0.1343428,0.012351831,87
1937,0.121766165,0.04271636,0.20081598,88
1938,0.15948813,0.086875446,0.2321008,89
1939,0.053391192,-0.024769008,0.1315514,90
1940,0.12198081,0.036773752,0.20718788,91
1941,0.07549032,-0.08448199,0.23546262,92
1942,0.060141157,-0.0885474,0.20882972,93
1943,0.112462394,-0.03932845,0.26425323,94
1944,0.22006534,0.0647593,0.37537137,95
1945,0.08353451,-0.07627028,0.2433393,96
1946,-0.011474031,-0.12398091,0.101032846,97
1947,0.044209387,-0.057356548,0.14577532,98
1948,-0.000778763,-0.098137766,0.09658024,99
1949,-0.06751225,-0.14601146,0.010986951,100
1950,-0.19089265,-0.2544837,-0.1273016,101
1951,0.053849168,0.003667341,0.104031,102
1952,0.0698174,0.014898672,0.12473614,103
1953,0.20657909,0.14942263,0.26373556,104
1954,-0.03111773,-0.08228449,0.020049032,105
1955,-0.12558742,-0.1801476,-0.07102725,106
1956,-0.27912933,-0.33364648,-0.2246122,107
1957,-0.03576782,-0.0865884,0.015052757,108
1958,0.08269571,0.036248203,0.12914321,109
1959,0.04707567,0.001177305,0.09297404,110
1960,0.000396488,-0.039588727,0.0403817,111
1961,-0.006730791,-0.041369714,0.027908131,112
1962,0.04820568,0.012002496,0.084408864,113
1963,0.07036424,0.031172281,0.10955618,114
1964,-0.26100203,-0.29740846,-0.22459559,115
1965,-0.19513263,-0.23463978,-0.15562546,116
1966,-0.08895999,-0.12963596,-0.048284013,117
1967,-0.039132696,-0.07403837,-0.004227021,118
1968,-0.1392383,-0.1691888,-0.10928779,119
1969,-0.10033807,-0.13223265,-0.06844349,120
1970,-0.12249983,-0.15047748,-0.09452218,121
1971,-0.22896299,-0.25861976,-0.19930625,122
1972,-0.2498834,-0.27750805,-0.22225873,123
1973,0.021601314,-0.005187678,0.048390307,124
1974,-0.24963334,-0.28132984,-0.21793684,125
1975,-0.11088225,-0.1385019,-0.083262615,126
1976,-0.25186262,-0.27873585,-0.22498941,127
1977,0.07897045,0.048403617,0.10953727,128
1978,-0.011896554,-0.0404788,0.01668569,129
1979,0.031081047,0.003491161,0.058670934,130
1980,0.13930702,0.10964129,0.16897276,131
1981,0.3399632,0.31019247,0.36973393,132
1982,-0.00987823,-0.039334014,0.019577553,133
1983,0.19221349,0.16480103,0.21962595,134
1984,-0.02962185,-0.05605666,-0.003187042,135
1985,-0.05202676,-0.08328115,-0.020772371,136
1986,0.062017497,0.035347648,0.088687345,137
1987,0.19571494,0.16644193,0.22498794,138
1988,0.3156612,0.28807482,0.34324756,139
1989,0.21736717,0.18926041,0.24547392,140
1990,0.46398687,0.4354623,0.49251145,141
1991,0.38519096,0.35713062,0.41325134,142
1992,0.09690911,0.06629642,0.12752181,143
1993,0.19244476,0.1638416,0.22104791,144
1994,0.32322568,0.2945719,0.35187948,145
1995,0.56863606,0.5386713,0.5986008,146
1996,0.29174882,0.26249856,0.32099912,147
1997,0.53472054,0.50468963,0.56475145,148
1998,0.71429116,0.6819505,0.7466318,149
1999,0.47636312,0.445391,0.50733525,150
2000,0.48707607,0.4571187,0.51703346,151
2001,0.62824297,0.5960018,0.6604842,152
2002,0.6687142,0.6384641,0.69896436,153
2003,0.7204716,0.68895227,0.751991,154
2004,0.63348985,0.6022742,0.6647055,155
2005,0.8313995,0.7995814,0.8632176,156
2006,0.7947609,0.76227236,0.8272494,157
2007,0.8321025,0.80039334,0.8638116,158
2008,0.67170423,0.63981444,0.70359397,159
2009,0.70673966,0.6749994,0.7384799,160
2010,0.91949975,0.8880282,0.9509713,161
2011,0.725346,0.69413495,0.7565571,162
2012,0.7843316,0.7503431,0.8183202,163
2013,0.77667415,0.7441518,0.8091966,164
2014,0.907794,0.8765373,0.9390507,165
2015,1.1308405,1.0958385,1.1658425,166
2016,1.255193,1.2238488,1.2865372,167
2017,1.1153969,1.0841864,1.1466073,168
2018,0.95966166,0.92587805,0.99344534,169
2019,1.1437434,1.1082898,1.179197,170
2020,1.2757266,1.2368631,1.3145901,171
2021,1.0779494,1.0399494,1.1159495,172
2022,1.0997018,1.0588678,1.1405357,173
2023,1.1230686,0.7315876,1.5145495,174
