Ice,Sample,Analysis,Mean Ice Depth,Ice Age,Mean Air Age,CO2 Mixing Ratio
,Code,Date,m,year A.D.,year A.D.,ppm
,,,,,,
,,,,,,
DSS,4,13-Nov-92,78.02,1901,1959,315.7
DSS,1,20-Aug-92,81.82,1896,1954,313.6
DSS,2,21-Aug-92,81.82,1896,1954,314.7
DSS,3,21-Aug-92,81.82,1896,1954,314.1
DSS,29,24-Nov-93,86.19,1890,1948,311.4
DSS,37,7-Jun-95,92.86,1881,1939,309.2
DSS,27,18-Nov-93,94.13,1878,1936,307.9
DSS,41,15-Jun-95,99.82,1871,1929,305.2
DSS,8,13-Aug-93,100.32,1868,1926,305
DSS,33,2-Jun-95,114.45,1847,1905,299
DSS,7,11-Aug-93,116.89,1841,1899,296.5
DSS,30,24-Nov-93,122.82,1833,1891,294.7
DSS,9,20-Aug-93,151.56,1787,1845,286.1
DSS,10,20-Aug-93,163.51,1767,1825,285.1
DSS,15,8-Oct-93,179.97,1738,1796,283.7
DSS,16,14-Oct-93,181.34,1736,1794,281.6
DSS,17,14-Oct-93,190.88,1719,1777,279.5
DSS,31,2-Jun-95,200.64,1702,1760,276.7
DSS,14,23-Aug-93,206.5,1691,1749,277.2
DSS,25,10-Nov-93,207.58,1689,1747,276.9
DSS,19,21-Oct-93,223.01,1662,1720,277.5
DSS,11,20-Aug-93,238,1634,1692,276.5
DSS,20,21-Oct-93,245.63,1621,1679,275.9
DSS,13,23-Aug-93,263.35,1589,1647,277.2
DSS,12,23-Aug-93,285.2,1546,1604,274.3
DSS,21,28-Oct-93,293.2,1531,1589,278.7
DSS,32,2-Jun-95,302.14,1512,1570,281.9
DSS,18,21-Oct-93,313.93,1489,1547,282.8
DSS,35,7-Jun-95,323.84,1469,1527,283.2
DSS,23,10-Nov-93,336.73,1441,1499,282.4
DSS,44,30-Jun-95,351.3,1407,1465,279.6
DSS,22,28-Oct-93,360.64,1388,1446,281.7
DSS,24,10-Nov-93,387.13,1329,1387,280
DSS,26,18-Nov-93,387.2,1329,1387,280.4
DSS,34,5-Jun-95,414.22,1269,1327,283.4
DSS,39,14-Jun-95,447.34,1188,1246,281.7
DSS,36,9-Jun-95,467.85,1138,1196,283.9
DSS,43,30-Jun-95,488.46,1088,1146,283.8
DSS,42,15-Jun-95,506.03,1038,1096,282.4
DSS,40,14-Jun-95,523.56,988,1046,280.3
DSS,38,12-Jun-95,534.27,948,1006,279.4
